0,20,20
3279,20,19
3375,20,20
9626,19,20
14021,19,21
14055,20,21
14544,21,21
16180,21,20
16561,20,20
16663,21,20
17163,22,20
18579,22,21
18969,22,20
19627,22,21
19827,23,21
19969,22,21
20188,23,21
20227,24,21
21195,24,20
22431,24,21
22513,24,22
22723,23,22
22785,24,22
22886,25,22
22940,25,23
23021,26,23
23176,27,23
23430,27,22
23617,28,22
23769,28,23
24147,28,24
24233,29,24
24275,29,25
24701,28,25
24856,29,25
24911,30,25
25219,30,24
25220,30,25
25226,30,26
25469,30,27
25810,31,27
25844,31,28
25883,32,28
25934,33,28
26548,34,28
26557,35,28
26639,36,28
26823,36,29
27224,35,29
27254,36,29
27344,36,30
27531,36,29
27634,37,29
27772,38,29
27935,39,29
28006,40,29
28040,40,30
28051,40,31
28407,39,31
28408,40,31
28419,40,32
28530,41,32
28718,41,33
28847,42,33
28855,42,34
28874,42,33
28933,43,33
29208,43,34
29218,43,35
29279,43,36
29340,43,37
29569,43,38
29604,43,39
29605,43,40
29818,44,40
29841,43,40
29893,44,40
29939,45,40
29966,46,40
30076,47,40
30097,47,39
30132,48,39
30148,49,39
30397,50,39
30431,51,39
30434,51,40
30443,52,40
30460,53,40
30476,53,41
30518,54,41
30583,55,41
30722,55,42
30816,55,43
30826,55,44
30829,55,45
30861,56,45
30973,57,45
30979,57,46
30988,57,47
31080,58,47
31086,58,48
31093,58,49
31189,59,49
31306,58,49
31309,59,49
31363,60,49
31414,61,49
31419,62,49
31518,63,49
31536,63,50
31585,64,50
31730,64,49
31733,65,49
31812,66,49
31834,66,50
31854,67,50
31975,68,50
32015,68,51
32032,68,52
32108,69,52
32109,70,52
32126,71,52
32127,72,52
32177,73,52
32188,73,53
32203,73,54
32206,73,54
